test_date_key,month,day_of_week,week_in_year,weekend,holiday,season,day,number_of_month,year,date
81,November,Friday,47,FALSE,FALSE,Fall,20,11,2020,2020-11-20
82,November,Saturday,47,TRUE,FALSE,Fall,21,11,2020,2020-11-21
83,November,Sunday,47,TRUE,FALSE,Fall,22,11,2020,2020-11-22
84,November,Monday,48,FALSE,FALSE,Fall,23,11,2020,2020-11-23
85,November,Tuesday,48,FALSE,FALSE,Fall,24,11,2020,2020-11-24
86,November,Wednesday,48,FALSE,FALSE,Fall,25,11,2020,2020-11-25
87,November,Thursday,48,FALSE,FALSE,Fall,26,11,2020,2020-11-26
88,November,Friday,48,FALSE,FALSE,Fall,27,11,2020,2020-11-27
89,November,Saturday,48,TRUE,FALSE,Fall,28,11,2020,2020-11-28
90,November,Sunday,48,TRUE,FALSE,Fall,29,11,2020,2020-11-29
91,November,Monday,49,FALSE,FALSE,Fall,30,11,2020,2020-11-30
92,December,Tuesday,49,FALSE,FALSE,Fall,1,12,2020,2020-12-01
93,December,Wednesday,49,FALSE,FALSE,Fall,2,12,2020,2020-12-02
94,December,Thursday,49,FALSE,FALSE,Fall,3,12,2020,2020-12-03
95,December,Friday,49,FALSE,FALSE,Fall,4,12,2020,2020-12-04
96,December,Saturday,49,TRUE,FALSE,Fall,5,12,2020,2020-12-05
97,December,Sunday,49,TRUE,FALSE,Fall,6,12,2020,2020-12-06
98,December,Monday,50,FALSE,FALSE,Fall,7,12,2020,2020-12-07
99,December,Tuesday,50,FALSE,FALSE,Fall,8,12,2020,2020-12-08
100,December,Wednesday,50,FALSE,FALSE,Fall,9,12,2020,2020-12-09
101,December,Thursday,50,FALSE,FALSE,Fall,10,12,2020,2020-12-10
102,December,Friday,50,FALSE,FALSE,Fall,11,12,2020,2020-12-11
103,December,Saturday,50,TRUE,FALSE,Fall,12,12,2020,2020-12-12
104,December,Sunday,50,TRUE,FALSE,Fall,13,12,2020,2020-12-13
105,December,Monday,51,FALSE,FALSE,Fall,14,12,2020,2020-12-14
106,December,Tuesday,51,FALSE,FALSE,Fall,15,12,2020,2020-12-15
107,December,Wednesday,51,FALSE,FALSE,Fall,16,12,2020,2020-12-16
108,December,Thursday,51,FALSE,FALSE,Fall,17,12,2020,2020-12-17
