mobility_surrogate_key,metro_area,subregion,province,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,date_col
50824,,Toronto Division,Ontario,-25.0,-8.0,108.0,-34.0,-7.0,2.0,2020-09-27
50825,,Toronto Division,Ontario,-32.0,-8.0,50.0,-54.0,-48.0,15.0,2020-09-28
50826,,Toronto Division,Ontario,-31.0,-6.0,33.0,-53.0,-48.0,15.0,2020-09-29
50827,,Toronto Division,Ontario,-32.0,-9.0,0.0,-54.0,-48.0,17.0,2020-09-30
50828,,Toronto Division,Ontario,-29.0,-1.0,32.0,-53.0,-45.0,16.0,2020-10-01
50829,,Toronto Division,Ontario,-33.0,-8.0,14.0,-51.0,-45.0,16.0,2020-10-02
50830,,Toronto Division,Ontario,-28.0,-7.0,66.0,-36.0,-7.0,6.0,2020-10-03
50831,,Toronto Division,Ontario,-33.0,-12.0,-12.0,-43.0,-14.0,6.0,2020-10-04
50832,,Toronto Division,Ontario,-32.0,-5.0,36.0,-54.0,-47.0,16.0,2020-10-05
50833,,Toronto Division,Ontario,-33.0,-6.0,39.0,-53.0,-47.0,15.0,2020-10-06
50834,,Toronto Division,Ontario,-34.0,-9.0,12.0,-55.0,-47.0,17.0,2020-10-07
50835,,Toronto Division,Ontario,-33.0,-3.0,14.0,-53.0,-46.0,17.0,2020-10-08
50836,,Toronto Division,Ontario,-31.0,1.0,40.0,-50.0,-45.0,15.0,2020-10-09
50837,,Toronto Division,Ontario,-35.0,-4.0,68.0,-39.0,-9.0,5.0,2020-10-10
50838,,Toronto Division,Ontario,-34.0,-5.0,48.0,-40.0,-12.0,3.0,2020-10-11
50839,,Toronto Division,Ontario,-66.0,-54.0,52.0,-75.0,-82.0,24.0,2020-10-12
50840,,Toronto Division,Ontario,-36.0,-2.0,51.0,-53.0,-49.0,16.0,2020-10-13
50841,,Toronto Division,Ontario,-36.0,-8.0,36.0,-54.0,-47.0,17.0,2020-10-14
50842,,Toronto Division,Ontario,-41.0,-13.0,-30.0,-56.0,-48.0,20.0,2020-10-15
50843,,Toronto Division,Ontario,-36.0,-5.0,32.0,-51.0,-45.0,17.0,2020-10-16
50844,,Toronto Division,Ontario,-31.0,-5.0,91.0,-37.0,-8.0,6.0,2020-10-17
50845,,Toronto Division,Ontario,-35.0,-12.0,39.0,-42.0,-15.0,7.0,2020-10-18
50846,,Toronto Division,Ontario,-40.0,-13.0,-18.0,-57.0,-49.0,18.0,2020-10-19
50847,,Toronto Division,Ontario,-36.0,-7.0,25.0,-54.0,-48.0,17.0,2020-10-20
50848,,Toronto Division,Ontario,-38.0,-12.0,12.0,-55.0,-48.0,19.0,2020-10-21
50849,,Toronto Division,Ontario,-38.0,-7.0,5.0,-54.0,-46.0,19.0,2020-10-22
50850,,Toronto Division,Ontario,-35.0,-8.0,69.0,-50.0,-45.0,16.0,2020-10-23
50851,,Toronto Division,Ontario,-33.0,-5.0,49.0,-38.0,-9.0,7.0,2020-10-24
50852,,Toronto Division,Ontario,-34.0,-11.0,30.0,-41.0,-15.0,6.0,2020-10-25
50853,,Toronto Division,Ontario,-39.0,-11.0,0.0,-56.0,-48.0,17.0,2020-10-26
50854,,Toronto Division,Ontario,-41.0,-14.0,-18.0,-56.0,-48.0,18.0,2020-10-27
50855,,Toronto Division,Ontario,-34.0,-6.0,25.0,-54.0,-46.0,17.0,2020-10-28
50856,,Toronto Division,Ontario,-37.0,-7.0,-8.0,-55.0,-46.0,18.0,2020-10-29
50857,,Toronto Division,Ontario,-37.0,-6.0,-10.0,-53.0,-45.0,17.0,2020-10-30
50858,,Toronto Division,Ontario,-31.0,-2.0,47.0,-36.0,-8.0,6.0,2020-10-31
50859,,Toronto Division,Ontario,-38.0,-12.0,-23.0,-45.0,-17.0,7.0,2020-11-01
50860,,Toronto Division,Ontario,-39.0,-13.0,-23.0,-57.0,-48.0,18.0,2020-11-02
50861,,Toronto Division,Ontario,-39.0,-10.0,-8.0,-55.0,-47.0,17.0,2020-11-03
50862,,Toronto Division,Ontario,-36.0,-11.0,34.0,-54.0,-47.0,18.0,2020-11-04
50863,,Toronto Division,Ontario,-36.0,-8.0,25.0,-54.0,-45.0,18.0,2020-11-05
50864,,Toronto Division,Ontario,-35.0,-8.0,46.0,-51.0,-44.0,17.0,2020-11-06
50865,,Toronto Division,Ontario,-29.0,-6.0,112.0,-33.0,-7.0,6.0,2020-11-07
50866,,Toronto Division,Ontario,-28.0,-8.0,115.0,-36.0,-11.0,4.0,2020-11-08
50867,,Toronto Division,Ontario,-36.0,-10.0,45.0,-55.0,-47.0,17.0,2020-11-09
50868,,Toronto Division,Ontario,-34.0,-7.0,63.0,-53.0,-46.0,16.0,2020-11-10
50869,,Toronto Division,Ontario,-35.0,-9.0,25.0,-56.0,-48.0,18.0,2020-11-11
50870,,Toronto Division,Ontario,-37.0,-6.0,11.0,-55.0,-45.0,18.0,2020-11-12
50871,,Toronto Division,Ontario,-38.0,-8.0,-4.0,-53.0,-45.0,18.0,2020-11-13
50872,,Toronto Division,Ontario,-33.0,-5.0,43.0,-41.0,-10.0,8.0,2020-11-14
50873,,Toronto Division,Ontario,-44.0,-22.0,-40.0,-51.0,-19.0,9.0,2020-11-15
50874,,Toronto Division,Ontario,-40.0,-14.0,-23.0,-59.0,-48.0,18.0,2020-11-16
50875,,Toronto Division,Ontario,-41.0,-13.0,-22.0,-58.0,-48.0,18.0,2020-11-17
50876,,Toronto Division,Ontario,-41.0,-15.0,-23.0,-59.0,-48.0,19.0,2020-11-18
50877,,Toronto Division,Ontario,-37.0,-8.0,3.0,-57.0,-46.0,19.0,2020-11-19
50878,,Toronto Division,Ontario,-34.0,-5.0,33.0,-54.0,-47.0,18.0,2020-11-20
50879,,Toronto Division,Ontario,-30.0,-2.0,11.0,-41.0,-8.0,8.0,2020-11-21
50880,,Toronto Division,Ontario,-42.0,-23.0,-34.0,-49.0,-17.0,9.0,2020-11-22
50881,,Toronto Division,Ontario,-51.0,-21.0,-28.0,-62.0,-50.0,20.0,2020-11-23
50882,,Toronto Division,Ontario,-49.0,-18.0,-25.0,-62.0,-50.0,20.0,2020-11-24
50883,,Toronto Division,Ontario,-49.0,-21.0,-30.0,-62.0,-49.0,21.0,2020-11-25
50884,,Toronto Division,Ontario,-44.0,-10.0,-9.0,-60.0,-48.0,20.0,2020-11-26
50885,,Toronto Division,Ontario,-45.0,-14.0,-8.0,-59.0,-47.0,20.0,2020-11-27
50886,,Toronto Division,Ontario,-43.0,-11.0,34.0,-49.0,-14.0,10.0,2020-11-28
50887,,Toronto Division,Ontario,-43.0,-15.0,42.0,-50.0,-19.0,8.0,2020-11-29
50888,,Toronto Division,Ontario,-48.0,-24.0,-49.0,-63.0,-50.0,20.0,2020-11-30
50889,,Toronto Division,Ontario,-51.0,-20.0,-28.0,-61.0,-51.0,21.0,2020-12-01
50890,,Toronto Division,Ontario,-46.0,-13.0,-16.0,-60.0,-49.0,20.0,2020-12-02
50891,,Toronto Division,Ontario,-45.0,-10.0,-13.0,-59.0,-48.0,20.0,2020-12-03
50892,,Toronto Division,Ontario,-49.0,-18.0,-30.0,-60.0,-48.0,21.0,2020-12-04
50893,,Toronto Division,Ontario,-45.0,-10.0,4.0,-49.0,-15.0,10.0,2020-12-05
50894,,Toronto Division,Ontario,-47.0,-16.0,9.0,-52.0,-21.0,8.0,2020-12-06
50895,,Toronto Division,Ontario,-48.0,-17.0,-23.0,-62.0,-49.0,19.0,2020-12-07
50896,,Toronto Division,Ontario,-47.0,-15.0,-14.0,-61.0,-49.0,19.0,2020-12-08
50897,,Toronto Division,Ontario,-50.0,-21.0,-29.0,-62.0,-50.0,21.0,2020-12-09
50898,,Toronto Division,Ontario,-46.0,-10.0,-13.0,-60.0,-48.0,20.0,2020-12-10
50899,,Toronto Division,Ontario,-45.0,-11.0,4.0,-58.0,-47.0,20.0,2020-12-11
50900,,Toronto Division,Ontario,-50.0,-18.0,-33.0,-55.0,-18.0,12.0,2020-12-12
50901,,Toronto Division,Ontario,-46.0,-14.0,2.0,-52.0,-20.0,8.0,2020-12-13
50902,,Toronto Division,Ontario,-47.0,-14.0,-23.0,-62.0,-50.0,19.0,2020-12-14
50903,,Toronto Division,Ontario,-46.0,-12.0,-22.0,-61.0,-50.0,19.0,2020-12-15
50904,,Toronto Division,Ontario,-49.0,-20.0,-42.0,-64.0,-50.0,21.0,2020-12-16
50905,,Toronto Division,Ontario,-45.0,-8.0,-21.0,-60.0,-49.0,21.0,2020-12-17
50906,,Toronto Division,Ontario,-45.0,-10.0,-12.0,-59.0,-48.0,20.0,2020-12-18
50907,,Toronto Division,Ontario,-46.0,-10.0,-6.0,-51.0,-16.0,11.0,2020-12-19
50908,,Toronto Division,Ontario,-45.0,-14.0,-5.0,-52.0,-20.0,9.0,2020-12-20
50909,,Toronto Division,Ontario,-39.0,-1.0,-4.0,-62.0,-54.0,19.0,2020-12-21
50910,,Toronto Division,Ontario,-37.0,7.0,-6.0,-61.0,-55.0,18.0,2020-12-22
50911,,Toronto Division,Ontario,-32.0,19.0,1.0,-60.0,-55.0,18.0,2020-12-23
50912,,Toronto Division,Ontario,-40.0,16.0,-30.0,-67.0,-67.0,23.0,2020-12-24
50913,,Toronto Division,Ontario,-84.0,-74.0,-2.0,-84.0,-86.0,32.0,2020-12-25
50914,,Toronto Division,Ontario,-68.0,-44.0,-1.0,-67.0,-43.0,15.0,2020-12-26
50915,,Toronto Division,Ontario,-56.0,-29.0,12.0,-60.0,-27.0,10.0,2020-12-27
50916,,Toronto Division,Ontario,-52.0,-16.0,-15.0,-75.0,-74.0,27.0,2020-12-28
50917,,Toronto Division,Ontario,-47.0,-8.0,5.0,-68.0,-64.0,23.0,2020-12-29
50918,,Toronto Division,Ontario,-47.0,-6.0,-33.0,-69.0,-64.0,25.0,2020-12-30
50919,,Toronto Division,Ontario,-41.0,11.0,5.0,-68.0,-67.0,25.0,2020-12-31
